user_id,name,type,author,main_characters,rating,review_date,tags,story_summary,notes,is_public
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,热的汤软的面包,BL小说,,,0,2024-01-01,{},by姜可是，周存趣&钟邱沿，短小的调节文，甜甜的,喜欢外婆刘小英，好好的老婆子。从小高压的期许在发小自杀后爆炸，周存趣把自己封在茧里两年，幸好外婆不离不弃幸好遇到闪亮勇敢的钟邱沿，一步步走出房门走下楼走进新生活。一家小店热的汤，软面包，很期待自己也有这样的栖息地。,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,长安少年游,BL小说,,,0,2024-01-01,{古代},,by明月倾，言君玉&萧橒🈹架空周朝权谋文，没落武将后门小少爷进宫作为太子陪读，用明艳赤诚陪着太子羽翼丰满自己也为奶奶挣得诰命封为异姓王，也得到一人心。其实故事不难，但我看的不投入，文风其实很美，也很累，心里想法和对话都没有双引号，权谋重人心权术，人物也多，派系交错，情感线吧很酸涩，不管是主角cp还是其他，都有很多身不由己。敖霁和容皓挺让我觉得可惜。,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,年少无名,BL小说,,,0,2024-01-01,"{校园,娱乐圈}",by诗无茶，温伏&费薄林，校园占比多的娱乐圈文，收养的小野猫，触动我的点还是缺了角的佛牌原来是小伏送给林妈妈的，原来弟弟一步一步走到哥哥身边花了那么久。,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,死对头他总想和我结婚,BL小说,,,0,2024-01-01,{甜文},by黄铜左轮，徐心诺&庄逢君，青梅竹马小甜文（其实一般甜）。,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,提灯看刺刀,BL小说,,,0,2024-01-01,{虐文},by淮上，楚慈&韩越。从破云追来看楚工小可爱。我宁愿be也不想看到楚慈爱上韩越，可以有愧有恨，但为啥要原谅要爱！心疼楚工。,,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,重生养夫郎,BL小说,,,6,2024-01-01,{种田},by岛里天下，萧元宝&祁北南💟小哥生子种田文。,祁北南经历一世失去爱人没有保护好爱人的伤痛，重回一世毅然决然去到小宝身边，陪着他长大，直到“小小的雀鸟从一直护着他的羽翼下飞出，已是能自行越过连绵的山川了”。小宝小时候太惹人怜了，被继母差别虐待性子怯懦，北南一路呵护，为家人谋划带着金手指提前赚产业走仕途。蒋夫郎赵厘正赵光宗姜汤团桂儿姐明观鑫都好好，最后出现的顾言许郡君也好可爱。小宝这边从学灶人接席面到后面去京城卖油酱菜开药膳食肆酒楼，没有很夸张的成功，北南这边也是步步踏实，很平实但很温馨，很喜欢。,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,我可是男狐狸精,BL小说,,,6,2024-01-01,"{娱乐圈,爽文,甜文}",by魔法少女兔英俊，莫北湖&谢爻,有系统的沙雕娱乐圈小甜文，从头笑到尾！湖湖太可爱了，貌美如花力大如牛热心善良逢人就是祝你位列仙班祝发财祝健朗，而且超级无敌能吃！湖湖爸的狡黠心动都好好嗑，配角们都很有个性生动且全员好人，很温和有趣的文。,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,刑侦档案,BL小说,,,0,2024-01-01,"{校园,刑侦}",by清韵小尸，陆司语&宋文,受原本姓季，还有个哥哥，因为是富豪家庭被绑架灭门，最后也是这个案子串起了整个故事，背后大boss其实是个很普通的大学校长，同时涉及的是一个虚拟网络犯罪网站，在这个网站上策划犯罪，但恶人把这些计划实施到了现实，最让人震惊的是最厉害的犯罪策划师，是受的哥哥，他也没死，被绑架被驯养，但最后也是靠着他的“卧薪尝胆”结束了整个犯罪。,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,大美人带崽进城务工,BL小说,,,0,2024-01-01,{现代},,by小文旦，现代文有茶神神境设定，白清语&贺任沅。好多茶的知识不懂也没兴趣，故事也很简单攻意外被受救了，在神境日久生情受怀孕了，设定就是茶神怀孕后失忆。后面就是茶神来到现实社会，带着娃和攻相遇相爱。小茶神很可爱。,false
cafca62c-5a2e-47f0-b155-cc3fd35d2d14,反派他爹佛系种田,BL小说,,,0,2024-01-01,"{种田,穿越}",by人生若初，穿越种田无cp主打一个养娃记。,,false
